昵称,性别,所在地,时间,内容,点赞数,转发数,评论数,主页
____二月同學_,女,其他,"37分钟前 来自
   ",":突然觉得是
     
      苹果手机
     
     逼着国产手机一次又一次的突破[允悲] ​",1,0,0,https://weibo.cn/u/6195944119
我想起个能用的网名,女,河北,"49分钟前 来自
   ",":苹果8真心难用，闪退，听语音有杂音，有时候连不上网。脑子进水才买了8，真心觉得以后再也不会用
     
      苹果手机
     
     了。[怒] 秦皇岛·卢龙镇 ​",0,0,1,https://weibo.cn/u/5406929985
陆丰生活圈,女,广东,51分钟前 来自荣耀8 ,":
     
      #陆丰社区#
     
     看看这位大哥，为了藏二百私房钱，硬生生把
     
      苹果手机
     
     都拆了[费解]
     
      #陆丰吃喝玩乐#
     
     ​",0,0,0,https://weibo.cn/u/2698006021
GaIyean,男,海外,今天 20:17 来自西,":美国拒绝华为手机进入美国市场！中国人还在狂抢
     
      苹果手机
     
     ！悲哀！ 西瓜视频
     
      http://t.cn/Rn4nYRr
     
     ​",0,1,0,https://weibo.cn/u/2957846395
勇敢勇赶,男,江西,"今天 20:14 来自
",":
     
      苹果手机
     
     机身内存占用超过40g左右手机就会明显的卡顿，明明还有十多g的空间，这是为什么？？清理空间到30g左右得时候，手机就流畅很多了，连微信消息都收感觉更快了，这是为啥？那还要那么多空间干嘛[允悲] ​",0,0,0,https://weibo.cn/u/2147480257
热门搞笑学长,男,北京,今天 20:02 来自专,":谁憋气时间长，这部
     
      苹果手机
     
     就归谁了！[并不简单] 热门搞笑学长的秒拍视频 ​",2,0,0,https://weibo.cn/atao954
波塞冬的愿景,男,山东,"今天 19:57 来自
",":
     
      苹果手机
     
     死机了[傻眼] 第一次碰到，ios11.1，只有锁屏键和home键能用，屏幕无法点击 ​",0,0,0,https://weibo.cn/234663200
赠送优惠券,女,河南,今天 19:48 来自贝,":双声道插头，耐拉耐折，寿命长，保证清晰通话质量，买5送1可开发票，降噪音，防辐射，安卓手机，
     
      苹果手机
     
     ，电脑都可以使用，FBI专用，特种兵专用，奥巴马特工专用，高逼格，空气传身。   [围观] 13 → 8  ​",0,0,1,https://weibo.cn/u/1824423373
吉他方,男,安徽,今天 19:46 来自i,":加州设计，中国制造，
     
      苹果手机
     
     背后的字样曾经代表了全球最大的两大经济体的分工，技术争霸离引发贸易战有多远。 ​",0,0,0,https://weibo.cn/fangguitar
白衣咸饭,男,上海,今天 19:44 来自微,"
    
    [good][good][good] 谢谢参与！请
    
     苹果手机
    
    持有者使用安卓手机或者电脑购买。因为
    
     苹果手机
    
    订阅后，很多人无法正常阅读，必须重启等等，非常麻烦。另外还要另交30%的费用给苹果[允悲][允悲][允悲]
    
     ",0,0,0,https://weibo.cn/u/1744093477
白衣咸饭,男,上海,今天 19:43 来自微,"
    
    [good][good][good] 谢谢参与！请
    
     苹果手机
    
    持有者使用安卓手机或者电脑购买。因为
    
     苹果手机
    
    订阅后，很多人无法正常阅读，必须重启等等，非常麻烦。另外还要另交30%的费用给苹果[允悲][允悲][允悲]
    
     赞[1]
    

     转发[0]
    

     评论[0]
    

     收藏
    


     今天 19:43 来自微博 weibo.co",1,0,0,https://weibo.cn/u/1744093477
狂顶陈翔,女,广西,"今天 19:43 来自
",":一名香港男子将94部
     
      苹果手机
     
     绑在身上，试图入境时被深圳皇岗海关查获；香港男子身上绑94部iPhone过海关被查获】内地消费者对iPhone水货的需求量究竟有多大、近日、深圳海关的工作人员对此最有体会，【黄牛太拼了 ​",0,0,0,https://weibo.cn/u/2879879513
老北京鸡肉卷jackie,女,广东,"今天 19:43 来自
",":莫名其妙被地铁上一小屁孩diss了
     
     探过头来看了一眼我的手机
     
     “我觉得
     
      苹果手机
     
     没什么好的，别的牌子也能做到，而且我觉得那个刘海特别丑”
     
     要你管我[拜拜]小朋友懂的还挺多 ​",0,0,2,https://weibo.cn/u/1861307974
一色黑科技,女,北京,"今天 19:02 来自
",":
     
      苹果手机
     
     的这个功能，很简单有用(同步自
     
      @新浪看点
     
     )
     
      苹果手机
     
     的这个功能，很简单有用 ​",0,0,0,https://weibo.cn/u/5884829935
一色黑科技,女,北京,"今天 19:02 来自
",":
     
      苹果手机
     
     这个人性化的小功能，你知道吗？(同步自
     
      @新浪看点
     
     )
     
      苹果手机
     
     这个人性化的小功能，你知道吗？ ​",0,0,0,https://weibo.cn/u/5884829935
一色黑科技,女,北京,"今天 19:02 来自
",":简单的小技巧，让你的
     
      苹果手机
     
     瞬间好用！(同步自
     
      @新浪看点
     
     )简单的小技巧，让你的
     
      苹果手机
     
     瞬间好用！ ​",0,0,0,https://weibo.cn/u/5884829935
一色黑科技,女,北京,"今天 19:02 来自
",":
     
      苹果手机
     
     这个功能，简单好用，我教你(同步自
     
      @新浪看点
     
     )
     
      苹果手机
     
     这个功能，简单好用，我教你 ​",0,0,0,https://weibo.cn/u/5884829935
逝去的回忆爱美食5376,男,山西,今天 19:01 来自魅,":专业
     
      苹果手机
     
     维修，想买手机的也可以私我，苹果，苹果，苹果[苹果] ​",0,1,1,https://weibo.cn/u/5736813721
一只黎懒懒,女,上海,"今天 18:53 来自
",":
     
      苹果手机
     
     拍照好好玩啊～嘿嘿，喜欢这种动图 上海·星河世纪城星月蓝湾 ​",0,0,0,https://weibo.cn/u/5068137758
赏真假l85,女,福建,今天 18:49 来自微,":
     
      #搞笑#
     
     面部解锁安全性存疑，市民买
     
      苹果手机
     
     10遇麻烦，同事可相互解锁！ 娱乐圈探子的秒拍视频[失望] ​",0,0,0,https://weibo.cn/u/6067321752
游客小飞侠,男,福建,"今天 18:44 来自
",":大家都知道
     
      苹果手机
     
     价格不菲，如果让你捡到一部iPhone8，你是自己使用还是归还给失主，发扬拾金不昧的精神，不过马来西亚一名华裔女警，捡到一台iPhone8，后打算归还失主，非但没有收到感谢，后来又被女警捡到iPhone8被当贼 气得秒丢垃圾桶 ​
     
      http://t.cn/Rn4pihR
     
     ​",0,0,0,https://weibo.cn/u/1676550397
乐溢king,男,河北,"今天 18:27 来自
",":接iOS退款，就是用
     
      苹果手机
     
     充值的游戏都可以退出来，不会丢失道具不会封号 ​",0,0,0,https://weibo.cn/u/6146863494
涂山苦情树下的丸砸,女,上海,"今天 18:11 来自
","
    
    中奖条件：女，非会员，
    
     苹果手机
    
    。
    
     ",0,0,0,https://weibo.cn/u/5653890810
中国联通河南客服,女,河南,今天 18:11 来自皮,":沃•小技巧 当我们忘记手机放在哪里的时候，安卓手机可以通过语音唤醒功能找手机，那
     
      苹果手机
     
     是否也可以通过类似的方法找手机呢？小U告诉你，只需要借助一台电脑即可办到。 ​",0,0,0,https://weibo.cn/hnkf10010
古月江几,男,陕西,今天 17:53 来自小,":【广西一大货车高速路失火 现场遍地iPhoneX】据网友爆料，3月15日上午，一辆装载着大量电子产品的大货车在G80广昆高速玉林市兴业县往贵港市方向401公里＋200米处发生起火。起火车辆司机已安全下车，事故并未造成人员伤亡，但事故现场散落着各种型号的
     
      苹果手机
     
     。该事故已引起道路拥堵约9公里左右，消防部门正在现场进行处置。
     
      http://t.cn/Rn4a0sm",0,0,2,https://weibo.cn/u/5410423177
yhp5866348804,男,陕西,今天 17:46 来自i,":[微笑]很多人都活反了
     
     吃顿饭300，不贵
     
     买件衣服800，不贵
     
     打个牌输赢1000，不贵
     
     买个
     
      苹果手机
     
     8000，不贵
     
     买条钻石项链58000，不贵
     
     买辆进口轿车500000，不贵
     
     到给自己和家人预防调理的时候，
     
     哇，太贵了！
     

     亲爱的，你的器官没有价，
     
     坏了！不好配啊[捂脸][捂脸][捂脸] ​",0,0,0,https://weibo.cn/u/5866348804
He小姐与你,女,四川,今天 17:41 来自i,":
     
      苹果手机
     
     在店里被偷了。现在我只追踪到一串激活码，请问我可以根据激活码追踪到相对应的手机号码吗？
     
      @移动营业厅
     

      @成都移动营业厅
     
     ​",0,0,0,https://weibo.cn/u/6008486496
挖白菜的大雄,男,上海,今天 17:36 来自微,":【劵后￥7.9】安卓
     
      苹果手机
     
     高速快充数据线【3根】
     
     剁手：
     
      http://t.cn/Rn46G32
     
     ​",0,0,0,https://weibo.cn/u/1772580583
取什么名字好听呢_,女,湖北,"今天 17:31 来自
",":傻x
     
      苹果手机
     
     每天都要给我更新系统，更新你妹，想要我换新手机？
     
      #遭遇苹果霸王条款#
     
     ​",0,0,1,https://weibo.cn/u/5546585598
取什么名字好听呢_,女,湖北,"今天 17:31 来自
",":傻x
     
      苹果手机
     
     每天都要给我更新系统，更新你妹，想要我换新手机？
     
      #遭遇苹果霸王条款#
     
     ​",0,0,1,https://weibo.cn/u/5546585598
小镇江手机,男,江苏,今天 17:26 来自i,":琐记：有图有真相🔻[下]🏾奇葩了吧，1978年4月1日就有iPhone
     
      苹果手机
     
     了
     

     创立于1997年
     
     一个有[有]态度de店——小镇江手机 镇江·小镇江手机 ​",0,0,0,https://weibo.cn/139zj
青藤芓,女,陕西,今天 17:18 来自i,":
     
      苹果手机
     
     拍摄的水底世界，棒棒的视角！ 晋城·蟒河镇 ​",0,0,0,https://weibo.cn/u/2530126304
可爱养生达人,女,山东,"今天 17:18 来自
","
    
    请问能抽到
    
     苹果手机
    
    端的吗？
    
     ",0,0,0,https://weibo.cn/u/5654172989
银河那边的公孙小鱼,男,北京,今天 17:14 来自i,"
    
    这套每两款可换
    
     苹果手机
    
    一部 次日涨幅30倍
    
     ",0,2,1,https://weibo.cn/u/1606436862
毛仪宦撕白,男,北京,今天 17:13 来自M,":13860579y合肥一哥们的去修自己的
     
      苹果手机
     
     ，拿回来之后竟然成了诺基亚……你一定买了一部假
     
      苹果手机
     
     [笑cry][笑cry][笑cry] 秒拍视频 . ​",1,0,0,https://weibo.cn/u/6240496413
九年一班大队长i,男,山东,今天 17:10 来自苹,":你最喜欢的也一直想玩的pokemon go
     
      苹果手机
     
     下载不了，我换安卓替你玩 ​",0,0,0,https://weibo.cn/u/5758521225
杭州城管,男,浙江,今天 17:10 来自政,":
     
      #城管正能量#
     
     【捡到手机不动心 她只想尽快找到失主】15日，景区上香古道公厕保洁员张秀英捡到1部
     
      苹果手机
     
     ，在原地等了1个小时仍然没有见到失主，她将手机交给了茅家埠警务室，在警察的协助下联系上了失主。手机的失而复得令失主十分感激：“多亏了城市美容师，环卫工人拾金不昧的高贵品质令人敬佩。” ​",1,1,0,https://weibo.cn/u/3213011675
一色黑科技,女,北京,今天 17:07 来自秒,":
     
      苹果手机
     
     这个功能，简单好用，我教你 一色黑科技的秒拍视频 ​",0,0,0,https://weibo.cn/u/5884829935
澄海方华数码,女,广东,"今天 17:02 来自
",":
     
      #美图m8#
     
     和
     
      #美图t8#
     
     真的是性价比超高超热销的两款🤗
     
     最新系统也增加了电影人像模式啦‼还有能直接跟苹果手机互相传送呦
     
     特价出‼️特价出‼️特价出‼️
     
     低疯啦[大哭]
     
      #微博橱窗#
     
     Meitu/美图 M8手机美 ​",1,1,1,https://weibo.cn/lukaibin
可爱love小诗,女,辽宁,"今天 16:43 来自
",":有自杀身亡的
     
      苹果手机
     
     生产工人！有叉车工：吟咏爱情；【我的诗篇】诗歌是一个时代最后的秘密、乃至地下800米深处的矿工！我们通过互联网寻找到六位特殊的工人：少数民族工人。他们同时也是优秀的诗人！ ​",0,0,0,https://weibo.cn/u/2964838220
BuckTeeth56,男,海外,"今天 16:42 来自
",":用安全可靠的通讯应用：美国的“微信” SOMA，……
     
      苹果手机
     
     App：
     
      http://t.cn/R4LPiop
     
     ​",0,0,0,https://weibo.cn/u/2424127745
H-可kkkk,女,云南,"今天 16:33 来自
",":一个下午领略了
     
      苹果手机
     
     的强大功能
     
     最后一张特此感谢我伟大的摄影师
     
     😈😈😈 北京·北京邮电大学延庆校区 ​",4,0,1,https://weibo.cn/u/5216422281
新的一年改个名字嘻嘻,女,海外,"今天 16:28 来自
",":我觉得  我这辈子 只用
     
      苹果手机
     
     了 ​",0,0,0,https://weibo.cn/u/3150149534
姜皖星,男,江苏,今天 16:15 来自🔨,"
    
    坦率地讲，小米手机有少数比
    
     苹果手机
    
    强的地方，但小米从来没有苹果强  同样适用于其它国产品牌
    
     ",0,0,0,https://weibo.cn/jiangwanxing
幸福颖宇,女,天津,今天 16:05 来自O,":上午为了这张相片我坏了
     
      苹果手机
     
     ，而且忘了密码修手机的说机子完了。最近占我爸爸的事都不太顺，提心吊胆担心爸爸身体的我总往迷信上想，因为爸爸正月十五医院照核磁共振，再加上他身体什么也吃不了，我们也没过，昨天做个图想存一起的，结果手机没摸自己就这样了。那天也是因为爸爸坏了个东西，处处不顺。再有就是爸爸有时晚上会喊他妈妈名字，这些让我有了那种感觉，我就更加害怕爸爸身体了，每次他喊他妈妈名字我就心里骂街。照顾爸爸，看病，迷信该做的，我都为爸爸做了才舒服，剩下只能请求眷顾让爸爸再多活几年了[祈祷][祈祷][祈祷]
     
      http://t.cn/Rp7WMy3",0,0,0,https://weibo.cn/u/1222729234
Miaaami,女,浙江,今天 15:52 来自华,"
    
    然买台
    
     苹果手机
    
    和买台电脑一样贵了
    
     ",0,0,0,https://weibo.cn/u/3344476502
道理一箩筐的小啥啥,男,江苏,"今天 15:38 来自
",":一份莫邪的冰淇凌要38块钱，今天知道有个叫歌帝梵的鬼冰淇淋要50快钱。女人啊，女人怎会如此愚蠢，我一个破16g的
     
      苹果手机
     
     想找个照片都他妈要到云端同步一下，害得老子只能截图发过来。我的心好痛啊，就想这被戳破的轮胎，因为换不起，我还在用备胎扛着，我1299元朝思暮想的64g小米手机被这些冰淇凌一口口的咬掉了
     
      http://t.cn/R2WiMlb",0,0,5,https://weibo.cn/u/1896330195
红树西岸,男,江西,今天 15:36 来自微,":很多人说
     
      苹果手机
     
     如何优秀？其实多数人不懂，乔布斯建立了一个软硬件包括平台构成的生态系统。苹果的成功是因为乔布斯有app意识，那是软件意识。同时关键的是乔布斯建立了一个app  Store，没有这个平台，苹果就不会成功。所以光一个苹果的硬件手机是不会取得成功的，苹果是一个生态，是由软硬件以及app Store平台构成的生态系统。",2,0,0,https://weibo.cn/dongjiang0791
新笑话语录,男,山东,今天 15:35 来自皮,":小明上课玩
     
      苹果手机
     
     ，被老师发现，
     
     老师说：“富二代了不起啊，上课就能玩手机了”
     
     小明说：“我不是富二代，我爸爸只是教育局长”
     
     老师说：“教育局长了不起啊，玩手机就可以不贴膜，万一刮花了怎么办，来老师给你贴膜。” ​",1,0,1,https://weibo.cn/u/1750964621
我是qww,男,北京,"今天 15:27 来自
",":大家都知道
     
      苹果手机
     
     价格不菲，如果让你捡到一部iPhone8，你是自己使用还是归还给失主，发扬拾金不昧的精神，不过马来西亚一名华裔女警，捡到一台iPhone8，后打算归还失主，非但没有收到感谢，后来又被女警捡到iPhone8被当贼 气得秒丢垃圾桶 ​
     
      http://t.cn/Rn42Lac
     
     ​",0,0,0,https://weibo.cn/u/3566197974
采果子菜地,男,上海,今天 15:26 来自采,":我们心里期待
     
      苹果手机
     
     怎么会是这样 ​",0,0,0,https://weibo.cn/278177552
楼边有个临,女,广东,今天 15:23 来自微,":刚刚看了那个学
     
      苹果手机
     
     铃声鸟的视频，突然想起我以前常去的乐器店的八哥。
     
     这只八哥，天天接受主人各种乐器熏陶，然而一个乐器拟声都没学会，就学会了发出车警报响（贼像了真的。
     
     每次叫起来都有不少客人火急火燎冲出门找车。
     
     而它学这个的重要原因是店里有只整天对它图谋不轨的猫。[允悲][允悲] ​",0,0,0,https://weibo.cn/u/1534865285
作家神评论,男,浙江,"今天 15:14 来自
",":一部
     
      苹果手机
     
     平均使用六年，一部安卓系统手机平均使用一年。这就是差距。对此雷军的回答非常开朗，雷军说到，不得不承认目前
     
      苹果手机
     
     依然是世界上最好的手机，哪怕是有一天小米手机也做到了这个样的高度，但是公司依然没权利限制用户的喜好。
     
      http://t.cn/Rn4wifo
     
     ​",2,0,0,https://weibo.cn/u/6026399582
穿球鞋听黑怕,男,北京,今天 15:13 来自O,":苹果ios退款！
     
     任何游戏都可以，先退款，退款到账之后给手续费即可！
     
     1:
     
      苹果手机
     
     一个月内充值app的钱都可以退。
     
     2:王者荣耀，阴阳师，荒野行动，轩辕传奇，飞车炫舞  贴吧，快手等等任何手游！
     
     3:钱退给你，装备，道具一样还在。
     
     4:不封号，不影响游戏跟app帐号的使用。
     
     5:支付宝充值退支付宝，以此类推！",0,0,3,https://weibo.cn/u/2728919083
香满随云散香满随,女,其他,今天 15:11 来自微,":
     
      苹果手机
     
     创意便签纸，每张便签纸就像一块iphone屏幕。 ​",0,0,0,https://weibo.cn/u/6151764484
带红包飞,男,北京,今天 14:51 来自撸,"
    

     苹果手机
    
    才可以。安卓奖励比较少。[羞嗒嗒]
    
     ",0,0,0,https://weibo.cn/345199182
戳脸_,女,湖北,今天 14:51 来自柔,"
    
    吸欧气呢每次都是
    
     苹果手机
    
    [允悲]//
    
     @钱哥
    
    :电脑手机不到五小时开了 现在转容易中，如果不要直接给你打2.2万 一夜暴富不是梦[ok]
    
     ",0,0,0,https://weibo.cn/oosehunxoxo
河南联通客户俱乐部,男,河南,今天 14:50 来自皮,":沃•小技巧【旧手机妙用小课堂】旧手机卖了不值钱，闲置又不甘心，除了当备用机之外，还能做什么呢？如果你的旧手机有OTG功能，那么只需要准备一条OTG数据线，就能变身移动电源给
     
      苹果手机
     
     、安卓手机充电。 ​",0,0,0,https://weibo.cn/hnltclub
陈陈陈呗,女,江苏,今天 14:49 来自微,":下午没什么事，就在整理单反的，安卓手机的，
     
      苹果手机
     
     的，电脑的，硬盘的，U盘的照片。。。。大概也就45个G[吃瓜][吃瓜][吃瓜][吃瓜] ​",0,0,0,https://weibo.cn/u/3855511681
王婕25,女,海外,今天 14:37 来自华,":这年头，
     
      苹果手机
     
     算什么
     

     名牌服装算什么，豪车、豪宅~都out了。
     
     现在最牛的炫富是什么？
     
     就是和同龄人站在一起，
     
     你像小鲜肉，她像老土豆‼️ ​",0,0,0,https://weibo.cn/u/5597456916
轻微强迫症患者_,女,海外,今天 14:36 来自D,":哥哥们的歌 有没有弄成
     
      苹果手机
     
     铃声的 跪求[作揖] ​",2,0,0,https://weibo.cn/u/2919127215
一生快乐20102,女,浙江,"今天 14:22 来自
",":《关掉
     
      苹果手机
     
     这两个功能，1秒让手机焕然一新，流畅的难以置信》关掉
     
      苹果手机
     
     这两个功能，1秒让手机焕然一新，流畅的难以置信
     
      http://t.cn/RnUFD55
     
     关掉
     
      苹果手机
     
     这两个功能，1秒让手机焕然一新，流畅的难以置信
     
      http://t.cn/RnUFD55
     
     ​",0,0,0,https://weibo.cn/u/3200112153
墨言墨yu,女,四川,"今天 14:21 来自
",":
     
      #苹果手机#
     
     想问问有没有高手？我的苹果6升级到iOS11 用着用着，有次忘记充电，然后再也开不了机，换电池也没反应，到底那里出了问题？ ​",0,0,3,https://weibo.cn/u/5894531267
春楠,男,北京,今天 14:17 来自i,":对
     
      苹果手机
     
     好失望！再也不想买
     
      苹果手机
     
     了…… ​",176,3,135,https://weibo.cn/lichunnan
沙坪坝韩宇,男,重庆,今天 14:12 来自优,":我上传了：【
     
      苹果手机
     
     关机小技巧】
     
      苹果手机
     
     关机小技巧（来优酷看我更多精彩视频：
     
      http://t.cn/RvYcRbB
     
     ） ​",1,0,0,https://weibo.cn/u/1942350072
嗯嗯嗯嗯wy,女,海南,"今天 14:10 来自
",":光大的微博朋友，
     
      苹果手机
     
     被盗怎么找回？求解
     
      @苹果手机官方
     
     ​",0,0,1,https://weibo.cn/u/2455723533
宽宏小酒量,男,浙江,今天 14:04 来自i,"
    
    我只要
    
     苹果手机
    
    ，其他折现可以不啦[笑而不语]
    
     ",0,0,0,https://weibo.cn/u/3907892328
宽宏小酒量,男,浙江,今天 14:04 来自i,"
    
    我只要
    
     苹果手机
    
    ，其他折现可以不啦[笑而不语]
    
     ",0,0,0,https://weibo.cn/u/3907892328
铸剑人,男,北京,今天 14:00 来自微,":我围观了
     
      @尚洁怡
     
     的回答，该问题价值51.50元，围观仅1元，快来一起围观~ <br />微博问答:国产手机和
     
      苹果手机
     
     的差距在哪里？未来国产手机有可能超越苹果么？ ​",0,0,0,https://weibo.cn/bendiu
大项的天,男,浙江,今天 13:56 来自三,"
    
    那么多
    
     苹果手机
    
    掉地上
    
     ",0,0,0,https://weibo.cn/u/1758961192
上海学天王总,男,上海,今天 13:55 来自柔,"
    
    什么才是真正的出家人？什么才是苦行僧？ 看看大街上那些，手拿
    
     苹果手机
    
    ，带着妹子出入酒店的。根本就不是一个境界。
    
     ",0,0,0,https://weibo.cn/572330096
刘文超先生,男,北京,今天 13:51 来自i,":
     
      苹果手机
     
     欢乐斗地主不能买欢乐豆，输光了邀请好友开房间玩5局可送1000豆，于是，脑洞大开来一波无聊的操作[喵喵][喵喵] 刘文超先生的秒拍视频 ​",0,0,0,https://weibo.cn/u/2697716070
就饿了破啊他呀,女,上海,"今天 13:02 来自
",":没带耳机
     
     在小摊上买
     
     可能和小哥沟通有误
     
     他说十块钱的是通用的
     
     还有二十五的
     
     于是我囊中羞涩
     
     买了十块价位的
     
     后来发现……[二哈][二哈]
     
     我突然觉得
     
     我这种穷屌
     
     配不上
     
      苹果手机
     
     [微笑][微笑] 上海·南方商城 ​",1,0,9,https://weibo.cn/u/5220017282
不一样的烟火girl,女,河北,今天 13:00 来自荣,":今天舍友和一个小哥哥去吃饭了，然后不好意思老让小哥哥掏钱，吃饭没抢着掏钱的机会，吃完了想给小哥哥买青团，终于有了付钱的机会，然而手机没电了……
     
      苹果手机
     
     被冻关机了，哈哈哈哈哈哈哈哈，这个梗我能笑一年🌚 ​",0,0,0,https://weibo.cn/u/5860155258
旅游小朱,男,湖北,今天 12:55 来自手,":现货WHOOSH
     
      苹果手机
     
     电脑液晶电视屏幕喷雾套装清洁剂液除灰尘布 现货WHOOSH
     
      苹果手机
     
     电脑液晶电视屏幕喷雾套装清洁剂液除灰尘布 ​",0,0,0,https://weibo.cn/u/2876753351
转角里的回忆,男,贵州,"今天 12:54 来自
",":起码他也没有让我饿一顿饭我想要什么他都能满足我爱他什么奥特曼变形精钢葫芦娃的真正的英雄是他爸爸是我最大的依靠我不能没有他爸爸我爱你，我爱我的爸爸不管他有没有让我住豪宅让我有大把大把的钱花让我拿着
     
      苹果手机
     
     给我买最贵的衣服是不是大公司老板我都爱他是他让我来到这个世界的
     
      http://t.cn/RGpPTHe",0,0,0,https://weibo.cn/u/2207497515
亮剑谁与争锋,男,广东,今天 12:45 来自微,":为了买
     
      苹果手机
     
     ，妹子把男友豁出去了，笑死人了有理宁的秒拍视频 ​",0,0,0,https://weibo.cn/u/2327620480
女生爱情语录,女,广东,今天 12:30 来自微,":【11.80】新款运动手臂包
     
      苹果手机
     
     臂包健身装备 ​",1,0,1,https://weibo.cn/nsaqyl
幽然沉678,男,江西,今天 12:18 来自皮,":他新买了个
     
      苹果手机
     
     ，屏保是亲一下解锁，某天，他亲了手机却解不了锁，于是他多亲了几下，忽然手上一沉，一个银发少年赤裸着身子搂着他的脖子，“主人，把胡子剃掉好不好嘛？它扎的我好痒”。 ​",0,0,0,https://weibo.cn/u/5683959516
锋芒小栈,男,广东,"今天 12:06 来自
",":要是库克或者说乔布斯后的苹果团队，仍然坚持乔布斯时期认为的：4英寸手机是最合适的，坚决不向三星和htc一样做大屏幕手机。苹果会不会下滑？肯定会，甚至手机业务会整个完蛋！库克团队没有被乔布斯当年的观念束缚住手脚，发展大屏幕手机，才创下
     
      苹果手机
     
     今天的伟业。 ​",0,0,0,https://weibo.cn/234059550
狼窝里的小羔羊,女,河南,今天 12:05 来自卟,":当抖音小哥哥集体开撩
     
     又是抱抱又是床咚的真的要命
     
     张欣尧留下其余的你们拿走
     
     大川
     
     刘宇
     
     虞乐
     
     李旭
     
     戈壁老王
     
     刘东
     
     连纬
     

      苹果手机
     
     live照片动态无水印手机壁纸
     
     点赞拿走还要谁的、说 ​​​",26,5,16,https://weibo.cn/u/2291688137
我是搞机哥,男,山东,"今天 12:03 来自
",":【温馨提示】
     
     用
     
      苹果手机
     
     的亲朋好友们！注意了！7以上包括iPhoneX！不要更新11.2.6的版本！如果更新了！那么注意！有可能出现软件闪退！打电话卡顿！来电铃声响！接不了电话！等等问题的！这是11.2.6版本问题！和手机没有关系！注意！注意！暂时别升级！ ​",0,0,0,https://weibo.cn/u/5769495299
Aimable扑克兔,女,江苏,今天 12:02 来自 ,":对
     
      苹果手机
     
     好生失望[拜拜] ​",0,0,0,https://weibo.cn/u/2797285592
